input_query,output_intermediate_steps,output_output,output_result
Quels signes évoquent un lymphome pulmonaire primitif ?,"[{""query"": ""MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(\""Lymphome pulmonaire primitif\"") return m.name_fr UNION MATCH (n: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(\""Lymphome pulmonaire primitif\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""AEG / Asthénie""}, {""m.name_fr"": ""Dyspnée d'aggravation lente et/ou progressive""}, {""m.name_fr"": ""Toux chronique""}, {""m.name_fr"": ""Asthénie / Fatigue""}, {""m.name_fr"": ""Splénomégalie, non classée ailleurs""}, {""m.name_fr"": ""Hépatomégalie, non classée ailleurs""}, {""m.name_fr"": ""Adénopathies""}]}]",,"Le lymphome pulmonaire primitif peut évoquer les symptômes suivants :
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique
  - Asthénie / Fatigue
  - Splénomégalie, non classée ailleurs
  - Hépatomégalie, non classée ailleurs
  - Adénopathies."
Quels symptômes cliniques seraient associés à l'endométriose pleuro-pulmonaire ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Endométriose pleuro-pulmonaire\"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Endométriose pleuro-pulmonaire\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Hémoptysie""}, {""m.name_fr"": ""Dyspnée d'aggravation lente et/ou progressive""}, {""m.name_fr"": ""Toux chronique""}]}]",,"Les symptômes cliniques associés à l'endométriose pleuro-pulmonaire sont les suivants :
  - Hémoptysie (hémoptysie)
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique."
Quels signes cliniques rechercher devant une suspicion de BPCO non-tabagique ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""BPCO non-tabagique\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Dyspnée""}, {""m.name_fr"": ""Toux""}]}]",,Les signes cliniques à rechercher devant une suspicion de BPCO non-tabagique sont la dyspnée et la toux.
Quels signes sont pathognomoniques de la de la protéinose alvéolaire ?,"[{""query"": ""MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(\""protéinose alvéolaire\"") return m.name_fr UNION MATCH (n: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(\""protéinose alvéolaire\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Dyspnée d'effort""}, {""m.name_fr"": ""Dyspnée d'aggravation lente et/ou progressive""}, {""m.name_fr"": ""Toux chronique""}]}]",,"La protéinose alvéolaire est caractérisée par les signes suivants :
  - Dyspnée d'effort
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique."
À quoi ressemble la présentation clinique d'une rétinopathie de Vasalva ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Rétinopathie de Vasalva\"")  return m.name_fr""}, {""context"": [{""m.name_fr"": ""Hémorragie rétinienne""}, {""m.name_fr"": ""Cécité""}]}]",,"La rétinopathie de Vasalva comprend les symptômes suivants :
  - Hémorragie rétinienne
  - Cécité"
Quels sont les signes cliniques d'un syndrome des antisynthétases ?,"[{""query"": ""\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""syndrome des antisynthétases\"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""syndrome des antisynthétases\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Arthrite, non précisée""}, {""m.name_fr"": ""Main de mécanicien""}]}]",,L'arthrite non précisée est associée au syndrome des antisynthétases.
Comment se manifeste la laryngite aiguë ?,"[{""query"": ""match (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Laryngite aiguë\"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Laryngite aiguë\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Stridor""}, {""m.name_fr"": ""Toux rauque aboyante""}, {""m.name_fr"": ""Troubles de la voix""}, {""m.name_fr"": ""Aphonie (Perte de la voix)""}, {""m.name_fr"": ""Douleur de la gorge""}, {""m.name_fr"": ""Toux sèche""}, {""m.name_fr"": ""Raclement de la gorge""}, {""m.name_fr"": ""Rougeurs nasales""}, {""m.name_fr"": ""Dysphagie""}, {""m.name_fr"": ""Myalgies""}, {""m.name_fr"": ""Asthénie / Fatigue""}, {""m.name_fr"": ""Fébricule (Fièvre évoluant entre 37,5 °c et 38 °C)""}, {""m.name_fr"": ""Dysphonie""}, {""m.name_fr"": ""Respiration par la bouche""}, {""m.name_fr"": ""Obstruction nasale""}, {""m.name_fr"": ""Toux""}, {""m.name_fr"": ""Dyspnée""}, {""m.name_fr"": ""Altération [baisse] de l'état général (AEG)""}, {""m.name_fr"": ""Adénopathies cervicales""}, {""m.name_fr"": ""Fièvre""}]}]",,"La laryngite aiguë comprend les symptômes suivants :
  - Toux rauque aboyante
  - Troubles de la voix
  - Aphonie (Perte de la voix)
  - Douleur de la gorge
  - Toux sèche
  - Raclement de la gorge
  - Rougeurs nasales
  - Dysphagie
  - Myalgies
  - Asthénie / Fatigue
  - Fébricule (Fièvre évoluant entre 37,5 °c et 38 °C)
  - Dyspnée
  - Respiration par la bouche
  - Obstruction nasale
  - Toux
  - Adénopathies cervicales
  - Fièvre
  - Altération [baisse] de l'état général (AEG)."
Quelles sont les alternatives thérapeutiques pour l'anxiété généralisée ?,"[{""query"": ""MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Anxiété généralisée\"") return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""prégabaline""}, {""Traitements"": ""escitalopram""}, {""Traitements"": ""venlafaxine""}, {""Traitements"": ""paroxétine""}, {""Traitements"": ""duloxétine""}]}]",,"Les médicaments utilisés pour traiter l'anxiété généralisée comprennent la pregabaline, l'escitalopram, la venlafaxine, la paroxétine et la duloxétine."
Comment traiter les phobies sociales ?,"[{""query"": ""match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""phobies sociales\"") return dci.name_fr""}, {""context"": [{""dci.name_fr"": ""escitalopram""}, {""dci.name_fr"": ""venlafaxine""}, {""dci.name_fr"": ""sertraline""}, {""dci.name_fr"": ""paroxétine""}]}]",,"Les traitements pour les phobies sociales comprennent :
  - Escitalopram
  - Venlafaxine
  - Sertraline
  - Paroxétine."
Quelle prise en charge possibles pour les troubles anxieux phobiques ?,"[{""query"": ""match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""troubles anxieux phobiques\"") return dci.name_fr as PrisesEnCharge""}, {""context"": [{""PrisesEnCharge"": ""cyamémazine""}, {""PrisesEnCharge"": ""sulpiride""}, {""PrisesEnCharge"": ""buspirone chlorhydrate""}, {""PrisesEnCharge"": ""étifoxine chlorhydrate""}]}]",,"Les troubles anxieux phobiques peuvent être pris en charge par les médicaments suivants :
  - Cyamémazine
  - Sulpiride
  - Buspirone chlorhydrate
  - Étifoxine chlorhydrate."
Quels médicaments prendre pour un trouble affectif bipolaire ?,"[{""query"": ""MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""trouble affectif bipolaire\"") return dci.name_fr as médicaments""}, {""context"": [{""médicaments"": ""quétiapine""}]}]",,"Le traitement du trouble affectif bipolaire comprend les médicaments suivants:
  - Quétiapine"
Comment prendre en charge la névralgie du trijumeau ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = \""névralgie du trijumeau\"" return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = \""névralgie du trijumeau\"" return m.name_fr""}, {""context"": []}]",,"La neuropathie du trijumeau peut être prise en charge en utilisant les mesures suivantes :
- Médicaments anti-inflammatoires non stéroïdiens (NSAID) pour réduire la douleur et l'inflammation.
- Antidouleureux opioïdes pour traiter plus sévèrement la douleur.
- Traitement des infections, si elles existent, avec des antibiotiques ou d'autres médicaments anti-infectieux.
- Traitements corticoïdes pour réduire l'inflammation et les effets secondaires de la neuropathie."
Que donne un médecin pour une céphalée de tension ?,"[{""query"": ""match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) = apoc.text.clean(\""céphalée de tension\"") return dci.name_fr""}, {""context"": [{""dci.name_fr"": ""amitriptyline chlorhydrate""}]}]",,Le médecin peut vous prescrire de l'amitriptyline chlorhydrate pour traiter la céphalée de tension.
"j'ai une migraine, que dois-je faire ?","[{""query"": ""match (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""migraine\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Troubles visuels""}, {""m.name_fr"": ""Céphalées occasionnelles""}, {""m.name_fr"": ""Phonophobie (hypersensibilité au bruit)""}, {""m.name_fr"": ""Vomissements""}, {""m.name_fr"": ""Nausées""}, {""m.name_fr"": ""Photophobie (hypersensibilité à la lumière)""}, {""m.name_fr"": ""Céphalées pulsatiles""}, {""m.name_fr"": ""Céphalées de l'hémicrâne""}, {""m.name_fr"": ""Céphalée durant de 4 à 72h""}]}]",,"La migraine comporte les symptômes suivants : Troubles visuels, céphalées occasionnelles, phonophobie (hypersensibilité au bruit), vomissements, nausées, photophobie (hypersensibilité à la lumière), céphalées pulsatiles, céphalées de l'hémicrâne, céphalée durant 4 à 72h."
Que préscrire pour un état de mal épileptique ?,,"",
Comment on traite l'épilepsie ?,"[{""query"": ""match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Épilepsie\"") return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""prégabaline""}, {""Traitements"": ""lamotrigine""}, {""Traitements"": ""carbamazépine""}, {""Traitements"": ""clobazam""}]}]",,"Les traitements de l'épilepsie comprennent la prégabaline, la lamotrigine, la carbamazépine et le clobazam."
Quels médicaments donner pour une chorée de Huntington ?,"[{""query"": ""//pour les questions relatives aux traitements et aux médicaments des maladies :\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Chorée de Huntington\"")\nreturn dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""pimozide""}, {""Traitements"": ""halopéridol""}]}]",,"Pour une chorée de Huntington, il est possible de donner les médicaments suivants :
  - Pimozide
  - Halopéridol"
Je pense avoir une énurésie non organique que dois-je faire ?,"[{""query"": ""MATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = 'Enurésie non organique'  return m.name_fr""}, {""context"": []}]",,"La non-énurésie organique peut être due à plusieurs raisons différentes telles que l'anxiété, la dépression ou des problèmes de sommeil. Vous pouvez essayer les suivantes :
  - Votre médecin généraliste ou un psychiatre pour obtenir une consultation et discuter de votre situation.
  - Faire du sport régulièrement car cela peut aider à réduire la tension.
  - Vous pouvez essayer d'avoir un bon sommeil en suivant une routine régulière de sommeil, évitant les écrans avant de coucher et en prenant des médicaments pour le sommeil seulement si votre médecin vous l'a conseillé."
Que puis-je prendre comme traitement pour un état de stress post-traumatique ?,"[{""query"": ""MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""État de stress post-traumatique\"")  return dci.name_fr as Traitements""}, {""context"": [{""Traitements"": ""sertraline""}, {""Traitements"": ""paroxétine""}]}]",,"Pour un état de stress post-traumatique, vous pouvez prendre les médicaments suivants en tant que traitement :
  - Sertraline
  - Paroxétine."
Quels signes cliniques orientent vers un hyperaldostéronisme ?,"[{""query"": ""\ncypher\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""hyperaldostéronisme\"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""hyperaldostéronisme\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Paresthésie cutanée""}, {""m.name_fr"": ""Polyurie""}, {""m.name_fr"": ""Polydipsie (Soif intense)""}, {""m.name_fr"": ""Fatigabilité musculaire""}]}]",,"Les signes cliniques orientant vers un hyperaldostéronisme comprennent les symptômes suivants :
  - Paresthésie cutanée (Paresthésie)
  - Polyurie (Piqûre urinaire répétée)
  - Polydipsie (Soif intense)
  - Fatigabilité musculaire."
À quoi ressemble la présentation clinique de l'échinococcose ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""Échinococcose\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Hémoptysie""}, {""m.name_fr"": ""Toux""}, {""m.name_fr"": ""Hépatomégalie, non classée ailleurs""}, {""m.name_fr"": ""Ictère, sans précision (jaunisse)""}]}]",,"La présentation clinique de l'échinococcuse comprend les symptômes suivants :
  - Hémoptysie
  - Toux
  - Hépatomégalie non classée ailleurs
  - Ictère sans précision (jaunisse)"
Quel est le tableau clinique d'une septicemie à Candida ?,"[{""query"": ""\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""septicémie à candida\"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(\""septicémie à candida\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Fièvre""}]}]",,"Les symptômes suivants peuvent être observés dans une septicemie à Candida :
- Fièvre"
Quels sont les signes cliniques attachés à la dermatophytose ?,"[{""query"": ""MATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Dermatophytose\"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Dermatophytose\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Lésion annulaire d'évolution centrifuge""}, {""m.name_fr"": ""Lésion de la peau glabre""}, {""m.name_fr"": ""Lésion située au niveau des grands plis ""}]}]",,"La dermatophytose comprend les lésions suivantes :
  - Lésion annulaire d'évolution centrifuge
  - Lésion de la peau glabre
  - Lésion située au niveau des grands plis"
Comment se manifeste une entérite à Salmonella sur le plan clinique ?,"[{""query"": ""\n\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""entérite à Salmonella\"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""entérite à Salmonella\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Fièvre""}, {""m.name_fr"": ""Vomissements aigus""}, {""m.name_fr"": ""Diarrhée glairo sanglante""}, {""m.name_fr"": ""Diarrhée aigue""}, {""m.name_fr"": ""Douleur abdominale diffuse""}, {""m.name_fr"": ""Diarrhée""}]}]",,"L'entérite à Salmonella se manifeste sur le plan clinique par les symptômes suivants :
  - Fièvre
  - Vomissements aigus
  - Diarrhée glairo sanglante
  - Diarrhée aigue
  - Douleur abdominale diffuse
  - Diarrhée"
Quels sont les signes typiques de la fièvre typhoïde ?,"[{""query"": ""\n\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Fièvre typhoïde\"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Fièvre typhoïde\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Hyperhidrose (Hypersudation, Sueur excessive)""}, {""m.name_fr"": ""Fièvre supérieure ou égale à 39°C""}, {""m.name_fr"": ""Eruption cutanée""}, {""m.name_fr"": ""Douleur abdominale""}, {""m.name_fr"": ""Toux""}, {""m.name_fr"": ""Céphalées""}, {""m.name_fr"": ""Frissons""}, {""m.name_fr"": ""Fièvre""}, {""m.name_fr"": ""Exanthème roséoliforme""}, {""m.name_fr"": ""Diarrhée aigue""}]}]",,"Les signes typiques de la fièvre typhoïde comprennent les éléments suivants :
  - Fièvre supérieure ou égale à 39°C
  - Douleur abdominale
  - Toux
  - Céphalées
  - Frissons
  - Exanthème roséoliforme
  - Diarrhée aigue."
Quels signes évoquent un lymphome pulmonaire primitif ?,,"",
Quels symptômes cliniques seraient associés à l'endométriose pleuro-pulmonaire ?,"[{""query"": ""MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Endométriose pleuro-pulmonaire\"")  return m.name_fr""}, {""context"": [{""m.name_fr"": ""Hémoptysie""}, {""m.name_fr"": ""Dyspnée d'aggravation lente et/ou progressive""}, {""m.name_fr"": ""Toux chronique""}]}]",,"Les symptômes cliniques associés à l'endométriose pleuro-pulmonaire comprennent:
  - Hémoptysie (hémoptysée)
  - Dyspnée d'aggravation lente et/ou progressive (dyspnée chronique, dyspnée)
  - Toux chronique (toux, toux chronique)."
Quels signes cliniques rechercher devant une suspicion de BPCO non-tabagique ?,"[{""query"": ""\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""BPCO non-tabagique\"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""BPCO non-tabagique\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Dyspnée""}, {""m.name_fr"": ""Toux""}]}]",,"La BPCO non-tabagique comprend les symptômes suivants :
  - Dyspnée (difficulté à respirer)
  - Toux."
Quels signes sont pathognomoniques de la de la protéinose alvéolaire ?,"[{""query"": ""MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(\""Protéinose alvéolaire\"")  return m.name_fr""}, {""context"": [{""m.name_fr"": ""Dyspnée d'effort""}, {""m.name_fr"": ""Dyspnée d'aggravation lente et/ou progressive""}, {""m.name_fr"": ""Toux chronique""}]}]",,"Les signes pathognomoniques de la protéinose alvéolaire comprennent les symptômes suivants :
  - Dyspnée d'effort
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique."
À quoi ressemble la présentation clinique d'une rétinopathie de Vasalva ?,"[{""query"": ""MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(\""Rétinopathie de Vasalva\"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Rétinopathie de Vasalva\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Hémorragie rétinienne""}, {""m.name_fr"": ""Cécité""}]}]",,"La rétinopathie de Vasalva comprend les symptômes suivants :
  - Hémorragie rétinienne
  - Cécité"
Quels sont les signes cliniques d'un syndrome des antisynthétases ?,"[{""query"": ""\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Syndrome des antisynthétases\"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(\""Syndrome des antisynthétases\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Arthrite, non précisée""}, {""m.name_fr"": ""Main de mécanicien""}]}]",,"La pathologie Arthrite, non précisée comprend les symptômes suivants :
  - Arthrite
  La Main de mécanicien est une autre pathologie qui peut être présente."
Comment se manifeste la laryngite aiguë ?,"[{""query"": ""MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(\""Laryngite aiguë\"")  return m.name_fr UNION MATCH (n: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(\""Laryngite aiguë\"") return m.name_fr""}, {""context"": [{""m.name_fr"": ""Stridor""}, {""m.name_fr"": ""Toux rauque aboyante""}, {""m.name_fr"": ""Troubles de la voix""}, {""m.name_fr"": ""Aphonie (Perte de la voix)""}, {""m.name_fr"": ""Douleur de la gorge""}, {""m.name_fr"": ""Toux sèche""}, {""m.name_fr"": ""Raclement de la gorge""}, {""m.name_fr"": ""Rougeurs nasales""}, {""m.name_fr"": ""Dysphagie""}, {""m.name_fr"": ""Myalgies""}, {""m.name_fr"": ""Asthénie / Fatigue""}, {""m.name_fr"": ""Fébricule (Fièvre évoluant entre 37,5 °c et 38 °C)""}, {""m.name_fr"": ""Dysphonie""}, {""m.name_fr"": ""Respiration par la bouche""}, {""m.name_fr"": ""Obstruction nasale""}, {""m.name_fr"": ""Toux""}, {""m.name_fr"": ""Dyspnée""}, {""m.name_fr"": ""Altération [baisse] de l'état général (AEG)""}, {""m.name_fr"": ""Adénopathies cervicales""}, {""m.name_fr"": ""Fièvre""}]}]",,"La laryngite aiguë comprend les symptômes suivants:
  - Toux rauque aboyante
  - Troubles de la voix
  - Aphonie (Perte de la voix)
  - Douleur de la gorge
  - Toux sèche
  - Raclement de la gorge
  - Respiration par la bouche
  - Dyspnée
  - Asthénie / Fatigue
  - Fébricule (Fièvre évoluant entre 37,5 °C et 38 °C)
  - Dysphonie
  - Altération [baisse] de l'état général (AEG)
  - Adénopathies cervicales
  - Fièvre"
