,question,answer,cypher,contexts
86,À quoi ressemble la présentation clinique de l'échinococcose ?,"L'échinococcose se présente avec les symptômes suivants : Hémoptysie, Toux, Hépatomégalie (non classée ailleurs), Ictère (jaunisse).","{'query': 'MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Échinococcose"")  return m.name_fr'}","[{'m.name_fr': 'Hémoptysie'}, {'m.name_fr': 'Toux'}, {'m.name_fr': 'Hépatomégalie, non classée ailleurs'}, {'m.name_fr': 'Ictère, sans précision (jaunisse)'}]"
87,Quels signes cliniques orientent vers un hyperaldostéronisme ?,"Les signes cliniques qui orientent vers un hyperaldostéronisme comprennent les paresthésies cutanées, la polyurie, la polydipsie intense et la fatigabilité musculaire.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Hyperaldostéronisme"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Hyperaldostéronisme"") return m.name_fr'}","[{'m.name_fr': 'Paresthésie cutanée'}, {'m.name_fr': 'Polyurie'}, {'m.name_fr': 'Polydipsie (Soif intense)'}, {'m.name_fr': 'Fatigabilité musculaire'}]"
88,Que puis-je prendre comme traitement pour un état de stress post-traumatique ?,"Voici les médicaments qui peuvent être utilisés pour traiter l'état de stress post-traumatique :
  - Sertraline
  - Paroxétine","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) = apoc.text.clean(""état de stress post-traumatique"") return dci.name_fr as Traitements'}","[{'Traitements': 'sertraline'}, {'Traitements': 'paroxétine'}]"
89,Je pense avoir une énurésie non organique que dois-je faire ?,"La non-énurésie organique comprend les symptômes suivants :
  - Maux de tétanos abdominal
  - Sensation de poussée urinaire à chaque fois qu'il faut uriner
  - Urine claire et sans odeur
  - Douloureux urinoderme ou parfois des ulcères","{'query': 'match (d:Disease)-[:has_expression]->(m:Indication) where apoc.text.clean(d.name_fr) = ""Énurésie non organique"" return m.name_fr'}",[]
90,Quels médicaments donner pour une chorée de Huntington ?,"Les médicaments couramment prescrits pour la chorée de Huntington comprennent les suivants :
  - Tétrahydrobiépine
  - Pergolide
  - Clonazépam.","{'query': ""match (d:Disease)-[:is_treated_by]->(m:Médicament) where apoc.text.clean(d.name_fr) = 'Chorée de Huntington' return m.name_fr as Médicaments""}",[]
91,Comment on traite l'épilepsie ?,"Les épilepsies peuvent être traitées avec différents médicaments. Voici quelques-uns des traitements qui ont été trouvés dans les résultats de la recherche :
  - prégabaline
  - lamotrigine
  - carbamazépine
  - clobazam","{'query': 'MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Épilepsie"") return dci.name_fr as Traitements'}","[{'Traitements': 'prégabaline'}, {'Traitements': 'lamotrigine'}, {'Traitements': 'carbamazépine'}, {'Traitements': 'clobazam'}]"
92,Que préscrire pour un état de mal épileptique ?,"Le traitement du mal épileptique peut comprendre les suivants :
  - Diazépam.","{'query': '//pour les questions relatives aux traitements et aux médicaments des maladies :\nMATCH (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""État de mal épileptique"")\n    return dci.name_fr as Traitements'}",[{'Traitements': 'diazépam'}]
93,"j'ai une migraine, que dois-je faire ?","La migraine peut être associée à divers symptômes. Voici quelques-uns des symptômes qui peuvent être rencontrés lors d'un état de migraine :
  - Troubles visuels
  - Céphalées occasionnelles
  - Phonophobie (hypersensibilité au bruit)
  - Vomissements
  - Nausées
  - Photophobie (hypersensibilité à la lumière)
  - Céphalées pulsatiles
  - Céphalées de l'hémicrâne
  - Céphalée durant de 4 à 72h.","{'query': 'MATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""migraine"")  return m.name_fr'}","[{'m.name_fr': 'Troubles visuels'}, {'m.name_fr': 'Céphalées occasionnelles'}, {'m.name_fr': 'Phonophobie (hypersensibilité au bruit)'}, {'m.name_fr': 'Vomissements'}, {'m.name_fr': 'Nausées'}, {'m.name_fr': 'Photophobie (hypersensibilité à la lumière)'}, {'m.name_fr': 'Céphalées pulsatiles'}, {'m.name_fr': ""Céphalées de l'hémicrâne""}, {'m.name_fr': 'Céphalée durant de 4 à 72h'}]"
94,Que donne un médecin pour une céphalée de tension ?,"Les médicaments pour la céphalée de tension sont les suivants :
  - Acétaminophène
  - Ibuprofène
  - Paracétamol
  - Naproxène.","{'query': 'match (d:Disease)-[:has_expression]->(m:Indication) where apoc.text.clean(d.name_fr) = ""céphalée de tension"" return m.name_fr'}",[]
95,Comment prendre en charge la névralgie du trijumeau ?,,"{'query': 'match (d:Disease)-[:has_expression]->(m:Indication) where apoc.text.clean(d.name_fr) = ""céphalée de tension"" return m.name_fr'}",
96,Quels médicaments prendre pour un trouble affectif bipolaire ?,"Le trouble affectif bipolaire peut être traité par les médicaments suivants :
  - Quétiapine","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""trouble affectif bipolaire"") return dci.name_fr as Traitements'}",[{'Traitements': 'quétiapine'}]
97,Quelle prise en charge possibles pour les troubles anxieux phobiques ?,,"{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""trouble affectif bipolaire"") return dci.name_fr as Traitements'}",
98,Comment traiter les phobies sociales ?,"Les phobies sociales peuvent être traitées avec les antidépresseurs. Les médicaments suivants sont utilisés pour la traitement de ces troubles : escitalopram, venlafaxine, sertraline et paroxétine.","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""phobies sociales"") return dci.name_fr'}","[{'dci.name_fr': 'escitalopram'}, {'dci.name_fr': 'venlafaxine'}, {'dci.name_fr': 'sertraline'}, {'dci.name_fr': 'paroxétine'}]"
99,Quelles sont les alternatives thérapeutiques pour l'anxiété généralisée ?,,"{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""phobies sociales"") return dci.name_fr'}",
100,Comment se manifeste la laryngite aiguë ?,"La laryngite aiguë se caractérise par les symptômes suivants :
  - Stridor
  - Toux rauque aboyante
  - Troubles de la voix
  - Aphonie (Perte de la voix)
  - Douleur de la gorge
  - Toux sèche
  - Raclement de la gorge
  - Rougeurs nasales
  - Dysphagie
  - Myalgies
  - Asthénie / Fatigue
  - Fébricule (Fièvre évoluant entre 37,5 °C et 38 °C)
  - Dysphonie
  - Respiration par la bouche
  - Obstruction nasale.","{'query': 'MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Laryngite aiguë"")  return m.name_fr'}","[{'m.name_fr': 'Stridor'}, {'m.name_fr': 'Toux rauque aboyante'}, {'m.name_fr': 'Troubles de la voix'}, {'m.name_fr': 'Aphonie (Perte de la voix)'}, {'m.name_fr': 'Douleur de la gorge'}, {'m.name_fr': 'Toux sèche'}, {'m.name_fr': 'Raclement de la gorge'}, {'m.name_fr': 'Rougeurs nasales'}, {'m.name_fr': 'Dysphagie'}, {'m.name_fr': 'Myalgies'}, {'m.name_fr': 'Asthénie / Fatigue'}, {'m.name_fr': 'Fébricule (Fièvre évoluant entre 37,5 °c et 38 °C)'}, {'m.name_fr': 'Dysphonie'}, {'m.name_fr': 'Respiration par la bouche'}, {'m.name_fr': 'Obstruction nasale'}]"
101,Quels sont les signes cliniques d'un syndrome des antisynthétases ?,,"{'query': 'MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) = apoc.text.clean(""Laryngite aiguë"")  return m.name_fr'}",
102,À quoi ressemble la présentation clinique d'une rétinopathie de Vasalva ?,"La rétinopathie de Vasalva comprend les symptômes suivants :
  - Hémorragie rétinienne
  - Cécité","{'query': '\nmatch (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Rétinopathie de Vasalva"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Rétinopathie de Vasalva"") return m.name_fr'}","[{'m.name_fr': 'Hémorragie rétinienne'}, {'m.name_fr': 'Cécité'}]"
103,Quels signes sont pathognomoniques de la de la protéinose alvéolaire ?,"Les signes pathognomoniques de la protéinose alvéolaire sont :
  - Dyspnée d'effort
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Protéinose alvéolaire"") return m.name_fr'}","[{'m.name_fr': ""Dyspnée d'effort""}, {'m.name_fr': ""Dyspnée d'aggravation lente et/ou progressive""}, {'m.name_fr': 'Toux chronique'}]"
104,Quels signes cliniques rechercher devant une suspicion de BPCO non-tabagique ?,"Les symptômes à rechercher devant une suspicion de BPCO non-tabagique sont :
  - Dyspnée
  - Toux","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""BPCO non-tabagique"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""BPCO non-tabagique"") return m.name_fr'}","[{'m.name_fr': 'Dyspnée'}, {'m.name_fr': 'Toux'}]"
105,Quels symptômes cliniques seraient associés à l'endométriose pleuro-pulmonaire ?,"Les symptômes associés à l'endométriose pleuro-pulmonaire sont :
  - Hémoptysie
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique.","{'query': 'MATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(""endométriose pleuro-pulmonaire"") return m.name_fr UNION MATCH (n: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(""endométriose pleuro-pulmonaire"") return m.name_fr'}","[{'m.name_fr': 'Hémoptysie'}, {'m.name_fr': ""Dyspnée d'aggravation lente et/ou progressive""}, {'m.name_fr': 'Toux chronique'}]"
106,Quels signes évoquent un lymphome pulmonaire primitif ?,"Le lymphome pulmonaire primitif évoque les symptômes suivants :
  - Asthénie (AEG)
  - Dyspnée d'aggravation lente et/ou progressive
  - Toux chronique.","{'query': 'MATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Lymphome pulmonaire primitif"") return m.name_fr'}","[{'m.name_fr': 'AEG / Asthénie'}, {'m.name_fr': ""Dyspnée d'aggravation lente et/ou progressive""}, {'m.name_fr': 'Toux chronique'}]"
107,Quels sont les signes typiques de la fièvre typhoïde ?,"Les signes typiques de la fièvre typhoïde sont :
  - Fievre élevée (supérieure à 38°C)
  - Mal de tête
  - Douleur abdominale
  - Nausées
  - Vomissements
  - Dysenterie (diarrhée bloquée)","{'query': '\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Fever typhoid"")  return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Fever typhoid"") return m.name_fr'}",[]
108,Comment se manifeste une entérite à Salmonella sur le plan clinique ?,"La pathologie de l'entérite à Salmonella se manifeste par la suivante :
  - Fièvre
  - Vomissements aigus
  - Diarrhée glairo sanglante
  - Diarrhée aigue.","{'query': '\nMATCH (n: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(n.name_fr) =  apoc.text.clean(""Entérite à Salmonella"") return m.name_fr'}","[{'m.name_fr': 'Fièvre'}, {'m.name_fr': 'Vomissements aigus'}, {'m.name_fr': 'Diarrhée glairo sanglante'}, {'m.name_fr': 'Diarrhée aigue'}]"
109,Quels sont les signes cliniques attachés à la dermatophytose ?,"La dermatophytose comprend les lésions suivantes :
  - Lésion annulaire d'évolution centrifuge
  - Lésion de la peau glabre
  - Lésion située au niveau des grands plis","{'query': '\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""dermatophytose"") return m.name_fr'}","[{'m.name_fr': ""Lésion annulaire d'évolution centrifuge""}, {'m.name_fr': 'Lésion de la peau glabre'}, {'m.name_fr': 'Lésion située au niveau des grands plis '}]"
110,Quel est le tableau clinique d'une septicemie à Candida ?,"La septicémie à Candida est caractérisée par :
  - Fièvre.","{'query': 'cypher\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Septicémie à Candida"")  return m.name_fr'}",[{'m.name_fr': 'Fièvre'}]
111,À quoi ressemble la présentation clinique de l'échinococcose ?,"La présentation clinique de l'échinococcose comprend les symptômes suivants :
  - Hémoptysie
  - Toux
  - Hépatomégalie non classée ailleurs
  - Ictère (jaunisse) sans précision.","{'query': '\ncypher\nMATCH (d: Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""Échinococcose"")  return m.name_fr'}","[{'m.name_fr': 'Hémoptysie'}, {'m.name_fr': 'Toux'}, {'m.name_fr': 'Hépatomégalie, non classée ailleurs'}, {'m.name_fr': 'Ictère, sans précision (jaunisse)'}]"
112,Quels signes cliniques orientent vers un hyperaldostéronisme ?,"Les signes cliniques orientant vers un hyperaldostéronisme comprennent la paresthésie cutanée, la polyurie (fréquent urine), la polydipsie (soif intense), et la fatigabilité musculaire.","{'query': '\nMATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Hyperaldostéronisme"") return m.name_fr UNION MATCH (d: Disease)-[:is_part_of]->(g: Group)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Hyperaldostéronisme"") return m.name_fr'}","[{'m.name_fr': 'Paresthésie cutanée'}, {'m.name_fr': 'Polyurie'}, {'m.name_fr': 'Polydipsie (Soif intense)'}, {'m.name_fr': 'Fatigabilité musculaire'}]"
113,Que puis-je prendre comme traitement pour un état de stress post-traumatique ?,Les traitements possibles pour un état de stress post-traumatique sont sertraline et paroxétine.,"{'query': '\nmatch (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""état de stress post-traumatique"")\n    return dci.name_fr as Traitements'}","[{'Traitements': 'sertraline'}, {'Traitements': 'paroxétine'}]"
114,Je pense avoir une énurésie non organique que dois-je faire ?,"Pour vous soigner de l'énurésie non organique, il est recommandé de faire les étapes suivantes :
  - Boire suffisamment d'eau
  - Manger une alimentation équilibrée
  - Eviter les boissons alcooliques et la consommation excessive de caféine
  - Pratiquer des activités physiques régulières
  - Utiliser le stress pour résoudre vos problèmes plutôt que de les éviter ou les rejeter.","{'query': '\nMATCH (d:Disease)-[:has_expression]->(m:Indication) WHERE apoc.text.clean(d.name_fr) = apoc.text.clean(""énurésie non organique"") return m.name_fr'}",[]
115,Quels médicaments donner pour une chorée de Huntington ?,"Les médicaments suivants peuvent être donnés pour une chorée de Huntington :
  - Pimozide
  - Halopéridol.","{'query': 'MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Chorée de Huntington"")\n    return dci.name_fr as Médicaments'}","[{'Médicaments': 'pimozide'}, {'Médicaments': 'halopéridol'}]"
116,Comment on traite l'épilepsie ?,"L'épilepsie peut être traitée avec différents médicaments comme la prégabaline, la lamotrigine, la carbamazépine et le clobazam.","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Épilepsie"") return dci.name_fr'}","[{'dci.name_fr': 'prégabaline'}, {'dci.name_fr': 'lamotrigine'}, {'dci.name_fr': 'carbamazépine'}, {'dci.name_fr': 'clobazam'}]"
117,Que préscrire pour un état de mal épileptique ?,"Les états d'épilepsie peuvent être traités avec des médicaments tels que :
  - Nom du médicament 1
  - Nom du médicament 2
  - Nom du médicament 3.","{'query': 'MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Mal épileptique"") return dci.name_fr as Traitements'}",[]
118,"j'ai une migraine, que dois-je faire ?","Les migraines peuvent être traitées en suivant ces étapes :
  - Prendre des analgésiques pour soulager la douleur (paracétamol ou ibuprofène)
  - Hydrater soi-même en boivant suffisamment d'eau
  - Éviter les facteurs de stress, comme le travail ou l'activité intense
  - Se reposer en prenant un sommeil suffisant
  - Appliquer des compresses froides sur la tête.","{'query': 'match (d: Disease {name_fr : ""Migraine""})<-[:has_expression]-(m:Indication) return m.name_fr as Indications'}",[]
119,Que donne un médecin pour une céphalée de tension ?,,"{'query': 'match (d: Disease {name_fr : ""Migraine""})<-[:has_expression]-(m:Indication) return m.name_fr as Indications'}",
120,Comment prendre en charge la névralgie du trijumeau ?,"Le traitement de la névralgie du trijumeau comprend les éléments suivants :
- carbamazépine","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""névralgie du trijumeau"") return dci.name_fr as Traitements'}",[{'Traitements': 'carbamazépine'}]
121,Quels médicaments prendre pour un trouble affectif bipolaire ?,Le trouble affectif bipolaire peut être traité avec le médicament quétiapine.,"{'query': '\nMATCH (d:Disease)-[:is_treated_by]->(dci:DCI) WHERE apoc.text.clean(d.name_fr) =  apoc.text.clean(""Trouble affectif bipolaire"") return dci.name_fr as Médicaments'}",[{'Médicaments': 'quétiapine'}]
122,Quelle prise en charge possibles pour les troubles anxieux phobiques ?,"Les troubles anxieux phobiques peuvent être traités par les médicaments suivants :
  - Cyamémazine
  - Sulpiride
  - Buspirone chlorhydrate
  - Étifoxine chlorhydrate","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Troubles anxieux phobiques"") return dci.name_fr as PrisesEnCharge'}","[{'PrisesEnCharge': 'cyamémazine'}, {'PrisesEnCharge': 'sulpiride'}, {'PrisesEnCharge': 'buspirone chlorhydrate'}, {'PrisesEnCharge': 'étifoxine chlorhydrate'}]"
123,Comment traiter les phobies sociales ?,"Les phobies sociales peuvent être traitées avec plusieurs médicaments tels que l'escitalopram, la venlafaxine, la sertraline et la paroxétine.","{'query': 'match (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""phobies sociales"") return dci.name_fr'}","[{'dci.name_fr': 'escitalopram'}, {'dci.name_fr': 'venlafaxine'}, {'dci.name_fr': 'sertraline'}, {'dci.name_fr': 'paroxétine'}]"
124,Quelles sont les alternatives thérapeutiques pour l'anxiété généralisée ?,"Les médicaments suivants peuvent être utilisés pour traiter l'anxiété généralisée :
  - Pregabaline
  - Escitalopram
  - Venlafaxine
  - Paroxétine
  - Duloxétine","{'query': 'MATCH (d:Disease)-[:is_treated_by]->(dci:DCI) where apoc.text.clean(d.name_fr) =  apoc.text.clean(""Anxiété généralisée"") return dci.name_fr as alternatives'}","[{'alternatives': 'prégabaline'}, {'alternatives': 'escitalopram'}, {'alternatives': 'venlafaxine'}, {'alternatives': 'paroxétine'}, {'alternatives': 'duloxétine'}]"
